# T1 actual rows (temporality=actual) | illustrative demo actuals, sources labelled
# metric_code	segment	case_id	year	value	unit	temporality	driver_type	step_date	step_value	repeat_years	source
rev_lounge	total	1	2023	0.768	EUR m	actual	level				demo actuals, illustrative
rev_property	total	1	2022	5.152	EUR m	actual	level				demo actuals, illustrative
rev_property	total	1	2023	5.376	EUR m	actual	level				demo actuals, illustrative
rev_fuel_throughput	total	1	2022	1.38	EUR m	actual	level				demo actuals, illustrative
rev_fuel_throughput	total	1	2023	1.44	EUR m	actual	level				demo actuals, illustrative
rev_nonaero_other	total	1	2022	1.104	EUR m	actual	level				demo actuals, illustrative
rev_nonaero_other	total	1	2023	1.152	EUR m	actual	level				demo actuals, illustrative
opex_utilities	total	1	2022	4.14	EUR m	actual	level				demo actuals, illustrative
opex_utilities	total	1	2023	4.32	EUR m	actual	level				demo actuals, illustrative
opex_rm	total	1	2022	3.496	EUR m	actual	level				demo actuals, illustrative
opex_rm	total	1	2023	3.648	EUR m	actual	level				demo actuals, illustrative
opex_insurance	total	1	2022	1.104	EUR m	actual	level				demo actuals, illustrative
opex_insurance	total	1	2023	1.152	EUR m	actual	level				demo actuals, illustrative
opex_rent	total	1	2022	0.92	EUR m	actual	level				demo actuals, illustrative
opex_rent	total	1	2023	0.96	EUR m	actual	level				demo actuals, illustrative
opex_marketing	total	1	2022	0.736	EUR m	actual	level				demo actuals, illustrative
opex_marketing	total	1	2023	0.768	EUR m	actual	level				demo actuals, illustrative
opex_cleaning	total	1	2022	1.472	EUR m	actual	level				demo actuals, illustrative
opex_cleaning	total	1	2023	1.536	EUR m	actual	level				demo actuals, illustrative
opex_other	total	1	2022	2.208	EUR m	actual	level				demo actuals, illustrative
opex_other	total	1	2023	2.304	EUR m	actual	level				demo actuals, illustrative
